helical_angle,helical_layer_count,hoop_layer_count,bust_pressure,tensile_str,e1_gpa,youngs_modulus,poision_ratio,yeild_strength,ult_tensile_strength,liner_thickness,diameter,doily_layers
0,0,0.0,277,0.0,0.0,57.5,0.33,240.3,317,6,130,0
0,0,0.0,273,0.0,0.0,57.5,0.33,240.3,317,6,130,0
0,0,0.0,275,0.0,0.0,57.5,0.33,240.3,317,6,130,0
14,3,3.0,519,1082.0,108.3,57.5,0.33,240.3,317,6,130,0
14,3,3.0,383,1082.0,108.3,57.5,0.33,240.3,317,6,130,0
14,3,6.0,438,1082.0,108.3,57.5,0.33,240.3,317,6,130,0
14,3,9.0,552,1082.0,108.3,57.5,0.33,240.3,317,6,130,0
14,6,6.0,700,1082.0,108.3,57.5,0.33,240.3,317,6,130,0
14,6,6.0,556,1082.0,108.3,57.5,0.33,240.3,317,6,130,0
14,5,3.0,500,1082.0,108.3,57.5,0.33,240.3,317,6,130,0
14,10,10.0,923,1082.0,108.3,57.5,0.33,240.3,317,6,130,0
14,11,11.0,935,1082.0,108.3,57.5,0.33,240.3,317,6,130,0
14,9,9.0,735,1082.0,108.3,57.5,0.33,240.3,317,6,130,0
14,13,10.0,705,1082.0,108.3,57.5,0.33,240.3,317,6,130,0
14,9,6.0,530,1082.0,108.3,57.5,0.33,240.3,317,6,130,0
14,3,3.0,520,1082.0,108.3,57.5,0.33,240.3,317,6,130,0
14,9,9.0,745,1082.0,108.3,57.5,0.33,240.3,317,6,130,0
14,9,8.0,1050,1082.0,108.3,57.5,0.33,240.3,317,6,130,0
14,12,11.0,1050,1100.0,95.6,57.5,0.33,240.3,317,6,130,0
14,13,11.0,1050,1100.0,95.6,57.5,0.33,240.3,317,6,130,0
14,15,11.0,880,1100.0,95.6,57.5,0.33,240.3,317,6,130,0
14,9,8.0,1014,1100.0,95.6,57.5,0.33,240.3,317,6,130,0
14,9,7.0,1018,1100.0,95.6,57.5,0.33,240.3,317,6,130,0
14,9,7.0,1146,1100.0,95.6,57.5,0.33,240.3,317,6,130,7
14,9,7.0,1170,1100.0,95.6,57.5,0.33,240.3,317,6,130,11
14,9,7.0,1260,1100.0,95.6,57.5,0.33,240.3,317,6,130,15
14,9,7.0,1211,1100.0,95.6,57.5,0.33,240.3,317,6,130,17
14,9,7.0,1235,1100.0,95.6,57.5,0.33,240.3,317,6,130,17
14,9,7.0,1280,1100.0,95.6,57.5,0.33,240.3,317,6,130,17
14,9,7.0,926,1100.0,95.6,57.5,0.33,240.3,317,6,130,22
14,9,7.0,1004,1100.0,95.6,57.5,0.33,240.3,317,6,130,22
14,9,7.0,1036,1100.0,95.6,57.5,0.33,240.3,317,6,130,17
14,9,6.0,1229,1100.0,95.6,57.5,0.33,240.3,317,6,130,17
14,9,7.0,1355,1100.0,95.6,57.5,0.33,240.3,317,6,130,26
14,9,7.0,1397,1100.0,95.6,57.5,0.33,240.3,317,6,130,26
14,9,8.0,1511,1100.0,95.6,57.5,0.33,240.3,317,6,130,26
14,9,7.5,1388,1100.0,95.6,57.5,0.33,240.3,317,6,130,26
14,9,7.5,1518,1100.0,95.6,57.5,0.33,240.3,317,6,130,26
11,3,3.0,965,609.8,27.93,192.0,0.28,235.0,360,4,132,0
11,3,3.0,848,609.8,27.93,192.0,0.28,235.0,360,4,132,0
11,3,3.0,831,609.8,27.93,192.0,0.28,235.0,360,4,132,0
11,3,3.0,879,609.8,27.93,192.0,0.28,235.0,360,4,132,0
11,6,6.0,1129,609.8,27.93,192.0,0.28,235.0,360,4,132,0
11,6,6.0,1096,609.8,27.93,192.0,0.28,235.0,360,4,132,0
11,3,3.0,922,609.8,27.93,192.0,0.28,235.0,360,4,132,0
11,3,3.0,887,609.8,27.93,192.0,0.28,235.0,360,4,132,0
0,0,0.0,657,0.0,0.0,192.0,0.28,235.0,360,4,132,0
0,0,0.0,622,0.0,0.0,192.0,0.28,235.0,360,4,132,0
0,0,0.0,692,0.0,0.0,192.0,0.28,235.0,360,4,132,0
